Store,Street,City,State,Zip,Phone,Mo-Open,Mo-Closed,Tu-Open,Tu-Closed,We-Open,We-Closed,Th-Open,Th-Closed,Fr-Open,Fr-Closed,Sa-Open,Sa-Closed,Su-Open,Su-Closed
Chipotle,19179 Bear Valley Rd,Apple Valley,CA,92308,7602405703,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,14120 Bear Valley Rd,Victorville,CA,92392,7602456999,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,625 Orange St,Redlands,CA,92374,9093078424,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,1092 Hospitality Lane,San Bernardino,CA,92408,9097999420,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,7879 Monticello Avenue,Rancho Cucamonga,CA,91739,9098990701,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,21:00
Chipotle,10811 Foothill Blvd,Rancho Cucamonga,CA,91730,9094768424,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,2590 Highpoint Parkway,Barstow,CA,92311,7602537480,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,11334 4th St,Rancho Cucamonga,CA,91730,9094767863,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,3525 Riverside Plaza Dr,Riverside,CA,92506,9517791962,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,1092 North Mountain Ave,Upland,CA,91786,9095790999,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,12411 Limonite Ave Suite 600,Mira Loma,CA,91752,9512549799,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,9177B Central Ave Suite B,Montclair,CA,91763,9095756434,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,2298 Foothill Blvd,LA Verne,CA,91750,9095756878,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,1409 Hamner Ave,Norco,CA,92860,9518170447,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,1365 E Gladstone St,Glendora,CA,91740,9095927063,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,13920 City Center Dr,Chino HIlls,CA,91709,9095483721,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,2465 W Florida Ave,Hemet,CA,92545,9516580139,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,11:00,22:00,11:00,21:00
Chipotle,860 East Alosta Ave Suite B3,Azusa,CA,91702,6269698274,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,21710 Valley Blvd,Walnut,CA,91789,9095951502,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,143 N Barranca,West Covina,CA,91791,6269676680,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,8182 E Santa Ana Canyon Rd,Anaheim,CA,92808,7142833092,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00
Chipotle,30024 Haun Rd,Menifee,CA,92584,9513019249,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,17501 Colima Road,City of Industry,CA,91748,6269649606,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,477 S Associated Rd,Brea,CA,92821,7145826519,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
Chipotle,2465 East Palm Canyon Dr,Palm Springs,CA,92264,7603250346,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00
